state,city,full_address,price,atmb_link,gmaps_link
NY,"New York","45 Rockefeller Plaza, New York, NY 10111",$49.00,https://www.anytimemailbox.com/s/new-york-rockefeller-center-45-rockefeller-plaza,https://www.google.com/maps/place/45+Rockefeller+Plaza%2C+New+York%2C+NY+10111
NY,"New York","152 E 118th St, New York, NY 10001",$49.99,https://www.anytimemailbox.com/s/new-york-152-e-118th-st,https://www.google.com/maps/place/152+E+118th+St%2C+New+York%2C+NY+10001
OH,Dublin,"6605 Longshore Street, Dublin, OH 43017-2774",$19.99,https://www.anytimemailbox.com/s/dublin-6605-longshore-street,https://www.google.com/maps/place/6605+Longshore+Street%2C+Dublin%2C+OH+43017-2774
OR,Tigard,"16200 SW Pacific Hwy, Tigard, OR 97224",$9.99,https://www.anytimemailbox.com/s/tigard-16200-sw-pacific-highway,https://www.google.com/maps/place/16200+SW+Pacific+Hwy%2C+Tigard%2C+OR+97224
PA,Philadelphia,"632 N 2nd St, Philadelphia, PA 19123",$10.99,https://www.anytimemailbox.com/s/philadelphia-632-n-2nd-street,https://www.google.com/maps/place/632+N+2nd+St%2C+Philadelphia%2C+PA+19123
PA,Philadelphia,"5944 Ogontz Ave, Philadelphia, PA 19141",$11.99,https://www.anytimemailbox.com/s/philadelphia-5944-ogontz-ave,https://www.google.com/maps/place/5944+Ogontz+Ave%2C+Philadelphia%2C+PA+19141
PR,Fajardo,"410 Avenida Montesol, Fajardo, PR 00738",$9.99,https://www.anytimemailbox.com/s/fajardo-410-avenida-montesol,https://www.google.com/maps/place/410+Avenida+Montesol%2C+Fajardo%2C+PR+00738
SC,"Fort Mill","3160 Hwy 21, Fort Mill, SC 29715",$9.99,https://www.anytimemailbox.com/s/fort-mill-3160-hwy-21,https://www.google.com/maps/place/3160+Hwy+21%2C+Fort+Mill%2C+SC+29715
TN,Knoxville,"9111 Cross Park Dr, Knoxville, TN 37923",$9.99,https://www.anytimemailbox.com/s/knoxville-9111-cross-park-drive,https://www.google.com/maps/place/9111+Cross+Park+Dr%2C+Knoxville%2C+TN+37923
TX,Allen,"1314 W McDermott Dr, Allen, TX 75013",$9.98,https://www.anytimemailbox.com/s/allen-1314-w-mcdermott-drive,https://www.google.com/maps/place/1314+W+McDermott+Dr%2C+Allen%2C+TX+75013
TX,Houston,"10780 Westview Dr,, Houston, TX 77043",$9.99,https://www.anytimemailbox.com/s/houston-10780-westview-drive,https://www.google.com/maps/place/10780+Westview+Dr%2C%2C+Houston%2C+TX+77043
TX,Lumberton,"156 S Main St, Lumberton, TX 77657",$9.99,https://www.anytimemailbox.com/s/lumberton-95b-w-chance-road,https://www.google.com/maps/place/156+S+Main+St%2C+Lumberton%2C+TX+77657
TX,Conroe,"10160 Hwy 242, Conroe, TX 77385",$14.99,https://www.anytimemailbox.com/s/conroe-10160-highway-242,https://www.google.com/maps/place/10160+Hwy+242%2C+Conroe%2C+TX+77385
TX,Dallas,"5301 Alpha Rd, Dallas, TX 75240",$14.99,https://www.anytimemailbox.com/s/dallas-5301-alpha-road,https://www.google.com/maps/place/5301+Alpha+Rd%2C+Dallas%2C+TX+75240
TX,Dallas,"3839 McKinney Avenue, Dallas, TX 75204-1488",$14.99,https://www.anytimemailbox.com/s/dallas-3839-mckinney-avenue,https://www.google.com/maps/place/3839+McKinney+Avenue%2C+Dallas%2C+TX+75204-1488
TX,"Flower Mound","2450 Lakeside Pkwy, Flower Mound, TX 75022",$14.99,https://www.anytimemailbox.com/s/flower-mound-2450-lakeside-pkwy,https://www.google.com/maps/place/2450+Lakeside+Pkwy%2C+Flower+Mound%2C+TX+75022
TX,"League City","6011 W Main St, League City, TX 77573",$14.99,https://www.anytimemailbox.com/s/league-city-6011-w-main-street,https://www.google.com/maps/place/6011+W+Main+St%2C+League+City%2C+TX+77573
TX,Dallas,"701 Commerce St, Dallas, TX 75202",$19.99,https://www.anytimemailbox.com/s/dallas-701-commerce-street,https://www.google.com/maps/place/701+Commerce+St%2C+Dallas%2C+TX+75202
TX,Houston,"6220 Westpark Dr, Houston, TX 77057",$19.99,https://www.anytimemailbox.com/s/houston-6220-westpark-drive,https://www.google.com/maps/place/6220+Westpark+Dr%2C+Houston%2C+TX+77057
TX,Austin,"10900 Research Blvd, Austin, TX 78759",$20.00,https://www.anytimemailbox.com/s/austin-10900-research-blvd,https://www.google.com/maps/place/10900+Research+Blvd%2C+Austin%2C+TX+78759
TX,Dallas,"13155 Noel Road, Dallas, TX 75240",$39.99,https://www.anytimemailbox.com/s/dallas-13155-noel-road,https://www.google.com/maps/place/13155+Noel+Road%2C+Dallas%2C+TX+75240
TX,"Fort Worth","9500 Ray White Rd, Fort Worth, TX 76244",$39.99,https://www.anytimemailbox.com/s/fort-worth-9500-ray-white-rd,https://www.google.com/maps/place/9500+Ray+White+Rd%2C+Fort+Worth%2C+TX+76244
TX,Grapevine,"1785 State Hwy 26, Grapevine, TX 76051",$39.99,https://www.anytimemailbox.com/s/grapevine-1785-state-hwy-26,https://www.google.com/maps/place/1785+State+Hwy+26%2C+Grapevine%2C+TX+76051
VA,Arlington,"1011 Arlington Blvd, Arlington, VA 22209",$14.99,https://www.anytimemailbox.com/s/arlington-1011-arlington-blvd,https://www.google.com/maps/place/1011+Arlington+Blvd%2C+Arlington%2C+VA+22209
VA,Richmond,"11 S 12th St, Richmond, VA 23219",$19.99,https://www.anytimemailbox.com/s/richmond-11-s-12th-street,https://www.google.com/maps/place/11+S+12th+St%2C+Richmond%2C+VA+23219
WA,Lacey,"4570 Avery Lane SE, Lacey, WA 98503",$9.99,https://www.anytimemailbox.com/s/lacey-4570-avery-lane-se,https://www.google.com/maps/place/4570+Avery+Lane+SE%2C+Lacey%2C+WA+98503
WA,Seattle,"4730 University Way NE, Seattle, WA 98105",$14.99,https://www.anytimemailbox.com/s/seattle-4739-university-way-ne,https://www.google.com/maps/place/4730+University+Way+NE%2C+Seattle%2C+WA+98105
WA,Woodinville,"13110 NE 177th Pl, Woodinville, WA 98072",$14.99,https://www.anytimemailbox.com/s/woodinville-13110-ne-177th-place,https://www.google.com/maps/place/13110+NE+177th+Pl%2C+Woodinville%2C+WA+98072
WI,Bayside,"333 W Brown Deer Rd, Bayside, WI 53217",$9.99,https://www.anytimemailbox.com/s/bayside-333-w-brown-deer-road,https://www.google.com/maps/place/333+W+Brown+Deer+Rd%2C+Bayside%2C+WI+53217
WI,"Menomonee Falls","N92W17420 Appleton Ave, Menomonee Falls, WI 53051",$14.99,https://www.anytimemailbox.com/s/menomonee-falls-n92-w17420-appleton-ave,https://www.google.com/maps/place/N92W17420+Appleton+Ave%2C+Menomonee+Falls%2C+WI+53051
WI,"Mineral Point","104 High St, Mineral Point, WI 53565",$14.99,https://www.anytimemailbox.com/s/mineral-point-104-high-street,https://www.google.com/maps/place/104+High+St%2C+Mineral+Point%2C+WI+53565
WV,Lewisburg,"3558 N Jefferson St, Lewisburg, WV 24901-9504",$9.99,https://www.anytimemailbox.com/s/lewisburg-3558-n-jefferson-street,https://www.google.com/maps/place/3558+N+Jefferson+St%2C+Lewisburg%2C+WV+24901-9504
